品號,品名,規格,物料性質,庫存地點,帳面數量(pcs),待發料數量(pcs),可用量(pcs),庫存金額(NTD),最近異動日,入庫日期(最早批),庫齡分類,主要供應廠商,安全庫存量(pcs),庫存水位狀態
YT-TG-2015-05,英騰導熱膏,5.0W/mk 15g,製成品,A倉,1500,250,1250,187500,2025-05-10,2024-11-15,1年內,—,800,正常
YT-TG-3010-10,英騰導熱膏,3.0W/mk 10g,製成品,A倉,2500,400,2100,220500,2025-05-18,2024-08-20,1年內,—,1000,偏高
YT-TG-8020-05,英騰高導熱膏,8.0W/mk 20g,製成品,A倉,650,170,480,158400,2025-04-25,2023-12-10,1-2年,—,300,偏低
YT-TP-1520-15,英騰導熱片,1.5mm/200x300mm,製成品,B倉,500,120,380,119000,2025-04-30,2024-05-20,1年內,—,200,正常
YT-VC-1010-10,英騰均溫板,10x10cm/1.0mm,製成品,B倉,120,35,85,102000,2025-05-15,2024-09-10,1年內,—,50,正常
RM-SIL-OIL-01,矽油基礎料,導熱矽油 A級,原物料,C倉,800,200,600,96000,2025-05-12,2023-06-05,2年以上,台灣矽品,500,偏高·庫齡警示
RM-AL2O3-01,氧化鋁粉,D50=5um 導熱填料,原物料,C倉,1200,300,900,54000,2025-05-20,2024-10-15,1年內,三晶材料,600,正常
RM-BN-01,氮化硼粉,高純度BN 散熱填料,原物料,C倉,400,100,300,120000,2025-05-08,2023-09-20,2年以上,三菱化學,200,偏低·庫齡警示
RM-COPPER-01,銅箔,0.1mm厚 均溫板用,原物料,D倉,600,150,450,135000,2025-05-22,2024-12-10,1年內,中砂材料,300,正常
RM-GRAPHITE-01,石墨粉,均溫板燒結用,原物料,D倉,300,50,250,75000,2025-04-18,2024-03-15,1年內,長豐碳素,150,正常
WIP-TG-2015-05,英騰導熱膏(在製),5.0W/mk 15g,在製品,生產線,200,0,200,16800,2025-05-25,2025-05-20,1年內,—,0,在製中
YT-TP-1030-10,英騰導熱片,1.0mm/300x300mm,製成品,B倉,80,0,80,19200,2025-01-15,2022-08-10,2年以上,—,100,不足·庫齡警示
