※ 示範資料 - 不良品紀錄表（上線前需替換為三達榮真實資料）
日期,組別,訂單號,款號,缺陷類型,數量,備註
2026-03-02,針一組,VS2512019,SPG200K151T0,車縫不平整,15,
2026-03-05,針BH3組,VS2510028,CIC015C21Z05,保溫不達標,8,測試失敗
2026-03-08,針XY3組,VS2510042,CIC017C43Z4,拉鏈卡頓,25,
2026-03-12,針五組,VS2511042,VIC170B15AA0,車針距不符,12,Vic 嚴格
2026-03-15,針八組,VS2510005,CIS073C17Z2,拉鏈卡頓,30,
2026-03-18,針BH4組,VS2512042,CIW029C8Z0,印刷模糊,18,
2026-03-22,針一組,VS2512019,SPG200K151T0,車縫不平整,10,
2026-03-26,針BH3組,VS2510028,CIC015C21Z05,保溫不達標,15,持續問題
2026-04-02,針XY5組,VS2510042,CIC017C43Z5,拉鏈卡頓,20,
2026-04-08,針三組,VS2510005,CIS073C17Z4,金屬扣鬆動,8,
2026-04-12,針BH1組,VS2511027,CIW211C13B1,車縫脫線,12,
2026-04-18,針BH3組,VS2510028,CIC015C21Z05,保溫不達標,22,已升級為 5mm EPE
2026-04-22,針五組,VS2511042,VIC170B15AA0,LOGO 位置偏差,6,Vic 嚴格
2026-04-25,針一組,VS2512019,SPG200K151T0,顏色色差,9,
2026-04-28,針BH4組,VS2512042,CIW029C8Z0,車縫不平整,14,
