巡店日期,店號,巡店人員,議題類別,議題描述,處理狀況,後續成效,備註
2026-02-12,S007,張經理(中區),員工流動,新進店長報到 1 個月，銷售流程不熟,已派資深員工協助,改善中,需 3 個月觀察
2026-02-15,S007,張經理(中區),競品衝擊,對面新開大同冷氣連鎖店，促銷激烈,啟動局部促銷,效果不佳,考慮品類差異化
2026-02-20,S007,張經理(中區),陳列問題,主推商品陳列位置偏後,重新調整陳列,已改善,下次巡店確認效果
2026-02-26,S004,李經理(北區),客流上升,新建案入住，客流上升 20%，需加派人力,招募 1 名 PT,已完成招募,成效良好
2026-03-05,S010,王經理(南區),南紡換手促銷激烈,新業者衝擊客流，本店 3 月銷售下滑 18%,申請南紡協辦活動,進行中,等百貨配合
2026-03-10,S001,李經理(北區),VIP 流失,信義店 VIP 客戶 Q1 回購率下降 15%,啟動 VIP 喚醒專案,進行中,需 6 週觀察
2026-03-15,S007,張經理(中區),夜市人流下降,夜市整體人流持續下降 15%（疫情後遺），影響到店,建議轉型 / 評估搬遷,評估中,高優先議題
2026-03-20,S008,張經理(中區),穩定無議題,員林店維持穩定，店長年資 4 年熟悉商圈,持續維持,—,可作為標竿店
2026-03-25,S013,王經理(南區),新店長磨合,店長剛調任 2 個月，需熟悉商圈,派區經理每週訪視,改善中,預計 Q3 達穩
2026-03-28,S015,李經理(東區),假日客流不穩,羅東文化園區假日有人潮但平日清淡,建議週末加開店長班,已安排,等 1 個月觀察
